athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Hall, Anna",Florida,SEC,100H,2022,SO-2,,,13.56,seconds,LSU Invitational,2022-04-30,,,0.7,Outdoor,https://www.tfrrs.org/results/74135/4536408/LSU_Invitational/100-Hurdles,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2022,SO-2,,,12.83,seconds,LSU Invitational,2022-04-30,,,1.6,Outdoor,https://www.tfrrs.org/results/74135/4536408/LSU_Invitational/100-Hurdles,TFRRS all_performances
"Wells, Sasha",Florida,SEC,100H,2022,SR-4,,,13.59,seconds,LSU Invitational,2022-04-30,,,0.7,Outdoor,https://www.tfrrs.org/results/74135/4536408/LSU_Invitational/100-Hurdles,TFRRS all_performances
"Anderson, Doneisha",Florida,SEC,400m,2022,JR-3,,,54.05,seconds,LSU Invitational,2022-04-30,,,,Outdoor,https://www.tfrrs.org/results/74135/4536432/LSU_Invitational/400-Meters,TFRRS all_performances
"Lester, Sterling",Florida,SEC,400m,2022,JR-3,,,53.13,seconds,LSU Invitational,2022-04-30,,,,Outdoor,https://www.tfrrs.org/results/74135/4536432/LSU_Invitational/400-Meters,TFRRS all_performances
"Manson, Taylor",Florida,SEC,400m,2022,SR-4,,,52.35,seconds,LSU Invitational,2022-04-30,,,,Outdoor,https://www.tfrrs.org/results/74135/4536432/LSU_Invitational/400-Meters,TFRRS all_performances
"Tate, Caitlan",Florida,SEC,400m,2022,SR-4,,,53.44,seconds,LSU Invitational,2022-04-30,,,,Outdoor,https://www.tfrrs.org/results/74135/4536432/LSU_Invitational/400-Meters,TFRRS all_performances
"Bryant, Claire",Florida,SEC,Long Jump,2022,SO-2,,,6.67,m,LSU Invitational,2022-04-30,,,1.9,Outdoor,https://www.tfrrs.org/results/74135/4536414/LSU_Invitational/Long-Jump,TFRRS all_performances
"Hall, Anna",Florida,SEC,Long Jump,2022,SO-2,,,6.33,m,LSU Invitational,2022-04-30,,,0.9,Outdoor,https://www.tfrrs.org/results/74135/4536414/LSU_Invitational/Long-Jump,TFRRS all_performances
"Moore, Jasmine",Florida,SEC,Long Jump,2022,SO-2,,,6.82,m,LSU Invitational,2022-04-30,,,2.0,Outdoor,https://www.tfrrs.org/results/74135/4536414/LSU_Invitational/Long-Jump,TFRRS all_performances
"Hall, Anna",Florida,SEC,100H,2022,SO-2,,,13.21,seconds,USATF Combined Events Championships,2022-05-06,,,1.8,Outdoor,https://www.tfrrs.org/results/75082/4566680/USATF_Combined_Events_Championships/100-Hurdles,TFRRS all_performances
"Hall, Anna",Florida,SEC,Long Jump,2022,SO-2,,,6.39,m,USATF Combined Events Championships,2022-05-06,,,0.9,Outdoor,https://www.tfrrs.org/results/75082/4566684/USATF_Combined_Events_Championships/Long-Jump,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2022,SO-2,,,12.94,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,+0.0,Outdoor,https://www.tfrrs.org/results/74844/4557141/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Stark, Grace",Florida,SEC,100H,2022,SO-2,,,DNF,s,SEC Outdoor Track & Field Championships,2022-05-12,Final,,2.1,Outdoor,https://www.tfrrs.org/athletes/7533304/Florida/Grace_Stark.html,legacy_source_needs_review
"Wells, Sasha",Florida,SEC,100H,2022,SR-4,,,13.40,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,-0.3,Outdoor,https://www.tfrrs.org/results/74844/4557141/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Hall, Anna",Florida,SEC,400H,2022,SO-2,,,54.91,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4555617/SEC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
